race number,Year,grand_prix,team,driver_number,constructor,car,engine_type,tyre,grid_position,race_position,event
43,2009,Britain,Vodafone McLaren Mercedes,1,McLaren,MP4-24,Mercedes V8,Bridgestone,18,16,
44,2009,Germany,Vodafone McLaren Mercedes,1,McLaren,MP4-24,Mercedes V8,Bridgestone,5,18,
45,2009,Hungary,Vodafone McLaren Mercedes,1,McLaren,MP4-24,Mercedes V8,Bridgestone,4,1,
46,2009,Europe,Vodafone McLaren Mercedes,1,McLaren,MP4-24,Mercedes V8,Bridgestone,1,2,
47,2009,Belgium,Vodafone McLaren Mercedes,1,McLaren,MP4-24,Mercedes V8,Bridgestone,12,ab,Pile-up
48,2009,Italy,Vodafone McLaren Mercedes,1,McLaren,MP4-24,Mercedes V8,Bridgestone,1,12,Accident
49,2009,Singapore,Vodafone McLaren Mercedes,1,McLaren,MP4-24,Mercedes V8,Bridgestone,1,1,
50,2009,Japan,Vodafone McLaren Mercedes,1,McLaren,MP4-24,Mercedes V8,Bridgestone,3,3,
51,2009,Brazil,Vodafone McLaren Mercedes,1,McLaren,MP4-24,Mercedes V8,Bridgestone,17,3,
52,2009,Abu Dhabi,Vodafone McLaren Mercedes,1,McLaren,MP4-24,Mercedes V8,Bridgestone,1,ab,Brakes
53,2010,Bahrain,Vodafone McLaren Mercedes,2,McLaren,MP4-25,Mercedes V8,Bridgestone,4,3,
54,2010,Australia,Vodafone McLaren Mercedes,2,McLaren,MP4-25,Mercedes V8,Bridgestone,11,6,
55,2010,Malaysia,Vodafone McLaren Mercedes,2,McLaren,MP4-25,Mercedes V8,Bridgestone,20,6,
56,2010,China,Vodafone McLaren Mercedes,2,McLaren,MP4-25,Mercedes V8,Bridgestone,6,2,
57,2010,Spain,Vodafone McLaren Mercedes,2,McLaren,MP4-25,Mercedes V8,Bridgestone,3,14,Puncture
58,2010,Monaco,Vodafone McLaren Mercedes,2,McLaren,MP4-25,Mercedes V8,Bridgestone,5,5,
59,2010,Turkey,Vodafone McLaren Mercedes,2,McLaren,MP4-25,Mercedes V8,Bridgestone,2,1,
60,2010,Canada,Vodafone McLaren Mercedes,2,McLaren,MP4-25,Mercedes V8,Bridgestone,1,1,
61,2010,Europe,Vodafone McLaren Mercedes,2,McLaren,MP4-25,Mercedes V8,Bridgestone,3,2,
62,2010,Britain,Vodafone McLaren Mercedes,2,McLaren,MP4-25,Mercedes V8,Bridgestone,4,2,
63,2010,Germany,Vodafone McLaren Mercedes,2,McLaren,MP4-25,Mercedes V8,Bridgestone,6,4,
64,2010,Hungary,Vodafone McLaren Mercedes,2,McLaren,MP4-25,Mercedes V8,Bridgestone,5,ab,Transmission
65,2010,Belgium,Vodafone McLaren Mercedes,2,McLaren,MP4-25,Mercedes V8,Bridgestone,2,1,
66,2010,Italy,Vodafone McLaren Mercedes,2,McLaren,MP4-25,Mercedes V8,Bridgestone,5,ab,Collision
67,2010,Singapore,Vodafone McLaren Mercedes,2,McLaren,MP4-25,Mercedes V8,Bridgestone,3,ab,Collision
68,2010,Japan,Vodafone McLaren Mercedes,2,McLaren,MP4-25,Mercedes V8,Bridgestone,8,5,
69,2010,South Korea,Vodafone McLaren Mercedes,2,McLaren,MP4-25,Mercedes V8,Bridgestone,4,2,
70,2010,Brazil,Vodafone McLaren Mercedes,2,McLaren,MP4-25,Mercedes V8,Bridgestone,4,4,
71,2010,Abu Dhabi,Vodafone McLaren Mercedes,2,McLaren,MP4-25,Mercedes V8,Bridgestone,2,2,
72,2011,Australia,Vodafone McLaren Mercedes,3,McLaren,MP4-26,Mercedes V8,Pirelli,2,2,
73,2011,Malaysia,Vodafone McLaren Mercedes,3,McLaren,MP4-26,Mercedes V8,Pirelli,2,8,20s penalty
74,2011,China,Vodafone McLaren Mercedes,3,McLaren,MP4-26,Mercedes V8,Pirelli,3,1,
75,2011,Turkey,Vodafone McLaren Mercedes,3,McLaren,MP4-26,Mercedes V8,Pirelli,4,4,
76,2011,Spain,Vodafone McLaren Mercedes,3,McLaren,MP4-26,Mercedes V8,Pirelli,3,2,
77,2011,Monaco,Vodafone McLaren Mercedes,3,McLaren,MP4-26,Mercedes V8,Pirelli,9,6,20s penalty
78,2011,Canada,Vodafone McLaren Mercedes,3,McLaren,MP4-26,Mercedes V8,Pirelli,5,ab,Collision
79,2011,Europe,Vodafone McLaren Mercedes,3,McLaren,MP4-26,Mercedes V8,Pirelli,3,4,
80,2011,Britain,Vodafone McLaren Mercedes,3,McLaren,MP4-26,Mercedes V8,Pirelli,10,4,
81,2011,Germany,Vodafone McLaren Mercedes,3,McLaren,MP4-26,Mercedes V8,Pirelli,2,1,
82,2011,Hungary,Vodafone McLaren Mercedes,3,McLaren,MP4-26,Mercedes V8,Pirelli,2,4,
83,2011,Belgium,Vodafone McLaren Mercedes,3,McLaren,MP4-26,Mercedes V8,Pirelli,2,ab,Accident
84,2011,Italy,Vodafone McLaren Mercedes,3,McLaren,MP4-26,Mercedes V8,Pirelli,2,4,
85,2011,Singapore,Vodafone McLaren Mercedes,3,McLaren,MP4-26,Mercedes V8,Pirelli,4,5,
86,2011,Japan,Vodafone McLaren Mercedes,3,McLaren,MP4-26,Mercedes V8,Pirelli,3,5,
87,2011,South Korea,Vodafone McLaren Mercedes,3,McLaren,MP4-26,Mercedes V8,Pirelli,1,2,
88,2011,India,Vodafone McLaren Mercedes,3,McLaren,MP4-26,Mercedes V8,Pirelli,5,7,
89,2011,Abu Dhabi,Vodafone McLaren Mercedes,3,McLaren,MP4-26,Mercedes V8,Pirelli,2,1,
90,2011,Brazil,Vodafone McLaren Mercedes,3,McLaren,MP4-26,Mercedes V8,Pirelli,4,ab,Gearbox
91,2012,Australia,Vodafone McLaren Mercedes,4,McLaren,MP4-27,Mercedes V8,Pirelli,1,3,
92,2012,Malaysia,Vodafone McLaren Mercedes,4,McLaren,MP4-27,Mercedes V8,Pirelli,1,3,
93,2012,China,Vodafone McLaren Mercedes,4,McLaren,MP4-27,Mercedes V8,Pirelli,7,3,
94,2012,Bahrain,Vodafone McLaren Mercedes,4,McLaren,MP4-27,Mercedes V8,Pirelli,2,8,
95,2012,Spain,Vodafone McLaren Mercedes,4,McLaren,MP4-27,Mercedes V8,Pirelli,24,8,
96,2012,Monaco,Vodafone McLaren Mercedes,4,McLaren,MP4-27,Mercedes V8,Pirelli,3,5,
97,2012,Canada,Vodafone McLaren Mercedes,4,McLaren,MP4-27,Mercedes V8,Pirelli,2,1,
98,2012,Europe,Vodafone McLaren Mercedes,4,McLaren,MP4-27,Mercedes V8,Pirelli,2,19,Collision
99,2012,Britain,Vodafone McLaren Mercedes,4,McLaren,MP4-27,Mercedes V8,Pirelli,8,8,
100,2012,Germany,Vodafone McLaren Mercedes,4,McLaren,MP4-27,Mercedes V8,Pirelli,7,ab,Handling
101,2012,Hungary,Vodafone McLaren Mercedes,4,McLaren,MP4-27,Mercedes V8,Pirelli,1,1,
102,2012,Belgium,Vodafone McLaren Mercedes,4,McLaren,MP4-27,Mercedes V8,Pirelli,7,ab,Pile-up
103,2012,Italy,Vodafone McLaren Mercedes,4,McLaren,MP4-27,Mercedes V8,Pirelli,1,1,
104,2012,Singapore,Vodafone McLaren Mercedes,4,McLaren,MP4-27,Mercedes V8,Pirelli,1,ab,Gearbox
105,2012,Japan,Vodafone McLaren Mercedes,4,McLaren,MP4-27,Mercedes V8,Pirelli,9,5,
106,2012,South Korea,Vodafone McLaren Mercedes,4,McLaren,MP4-27,Mercedes V8,Pirelli,3,10,
107,2012,India,Vodafone McLaren Mercedes,4,McLaren,MP4-27,Mercedes V8,Pirelli,3,4,
108,2012,Abu Dhabi,Vodafone McLaren Mercedes,4,McLaren,MP4-27,Mercedes V8,Pirelli,1,ab,Fuel pressure
109,2012,USA,Vodafone McLaren Mercedes,4,McLaren,MP4-27,Mercedes V8,Pirelli,2,1,
110,2012,Brazil,Vodafone McLaren Mercedes,4,McLaren,MP4-27,Mercedes V8,Pirelli,1,ab,Collision
111,2013,Australia,Mercedes AMG Petronas F1 Team,10,Mercedes,F1 W04,Mercedes V8,Pirelli,3,5,
112,2013,Malaysia,Mercedes AMG Petronas F1 Team,10,Mercedes,F1 W04,Mercedes V8,Pirelli,4,3,
113,2013,China,Mercedes AMG Petronas F1 Team,10,Mercedes,F1 W04,Mercedes V8,Pirelli,1,3,
114,2013,Bahrain,Mercedes AMG Petronas F1 Team,10,Mercedes,F1 W04,Mercedes V8,Pirelli,9,5,
115,2013,Spain,Mercedes AMG Petronas F1 Team,10,Mercedes,F1 W04,Mercedes V8,Pirelli,2,12,
116,2013,Monaco,Mercedes AMG Petronas F1 Team,10,Mercedes,F1 W04,Mercedes V8,Pirelli,2,4,
117,2013,Canada,Mercedes AMG Petronas F1 Team,10,Mercedes,F1 W04,Mercedes V8,Pirelli,2,3,
118,2013,Britain,Mercedes AMG Petronas F1 Team,10,Mercedes,F1 W04,Mercedes V8,Pirelli,1,4,
119,2013,Germany,Mercedes AMG Petronas F1 Team,10,Mercedes,F1 W04,Mercedes V8,Pirelli,1,5,
120,2013,Hungary,Mercedes AMG Petronas F1 Team,10,Mercedes,F1 W04,Mercedes V8,Pirelli,1,1,
121,2013,Belgium,Mercedes AMG Petronas F1 Team,10,Mercedes,F1 W04,Mercedes V8,Pirelli,1,3,
122,2013,Italy,Mercedes AMG Petronas F1 Team,10,Mercedes,F1 W04,Mercedes V8,Pirelli,12,9,
123,2013,Singapore,Mercedes AMG Petronas F1 Team,10,Mercedes,F1 W04,Mercedes V8,Pirelli,5,5,
124,2013,South Korea,Mercedes AMG Petronas F1 Team,10,Mercedes,F1 W04,Mercedes V8,Pirelli,2,5,
125,2013,Japan,Mercedes AMG Petronas F1 Team,10,Mercedes,F1 W04,Mercedes V8,Pirelli,3,ab,Undertray
126,2013,India,Mercedes AMG Petronas F1 Team,10,Mercedes,F1 W04,Mercedes V8,Pirelli,3,6,
127,2013,Abu Dhabi,Mercedes AMG Petronas F1 Team,10,Mercedes,F1 W04,Mercedes V8,Pirelli,4,7,
128,2013,USA,Mercedes AMG Petronas F1 Team,10,Mercedes,F1 W04,Mercedes V8,Pirelli,5,4,
129,2013,Brazil,Mercedes AMG Petronas F1 Team,10,Mercedes,F1 W04,Mercedes V8,Pirelli,5,9,
130,2014,Australia,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W05,Mercedes V6 t h,Pirelli,1,ab,Engine
131,2014,Malaysia,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W05,Mercedes V6 t h,Pirelli,1,1,
132,2014,Bahrain,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W05,Mercedes V6 t h,Pirelli,2,1,
133,2014,China,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W05,Mercedes V6 t h,Pirelli,1,1,
134,2014,Spain,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W05,Mercedes V6 t h,Pirelli,1,1,
135,2014,Monaco,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W05,Mercedes V6 t h,Pirelli,2,2,
136,2014,Canada,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W05,Mercedes V6 t h,Pirelli,2,ab,Brakes
137,2014,Austria,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W05,Mercedes V6 t h,Pirelli,9,2,
138,2014,Britain,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W05,Mercedes V6 t h,Pirelli,6,1,
139,2014,Germany,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W05,Mercedes V6 t h,Pirelli,20,3,
140,2014,Hungary,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W05,Mercedes V6 t h,Pirelli,22,3,
141,2014,Belgium,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W05,Mercedes V6 t h,Pirelli,2,ab,Handling
142,2014,Italy,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W05,Mercedes V6 t h,Pirelli,1,1,
143,2014,Singapore,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W05,Mercedes V6 t h,Pirelli,1,1,
144,2014,Japan,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W05,Mercedes V6 t h,Pirelli,2,1,
145,2014,Russia,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W05,Mercedes V6 t h,Pirelli,1,1,
146,2014,USA,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W05,Mercedes V6 t h,Pirelli,2,1,
147,2014,Brazil,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W05,Mercedes V6 t h,Pirelli,2,2,
148,2014,Abu Dhabi,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W05,Mercedes V6 t h,Pirelli,2,1,
149,2015,Australia,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W06,Mercedes V6 t h,Pirelli,1,1,
150,2015,Malaysia,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W06,Mercedes V6 t h,Pirelli,1,2,
151,2015,China,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W06,Mercedes V6 t h,Pirelli,1,1,
152,2015,Bahrain,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W06,Mercedes V6 t h,Pirelli,1,1,
153,2015,Spain,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W06,Mercedes V6 t h,Pirelli,2,2,
154,2015,Monaco,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W06,Mercedes V6 t h,Pirelli,1,3,
155,2015,Canada,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W06,Mercedes V6 t h,Pirelli,1,1,
156,2015,Austria,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W06,Mercedes V6 t h,Pirelli,1,2,5s penalty
157,2015,Britain,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W06,Mercedes V6 t h,Pirelli,1,1,
158,2015,Hungary,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W06,Mercedes V6 t h,Pirelli,1,6,
159,2015,Belgium,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W06,Mercedes V6 t h,Pirelli,1,1,
160,2015,Italy,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W06,Mercedes V6 t h,Pirelli,1,1,
161,2015,Singapore,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W06,Mercedes V6 t h,Pirelli,5,ab,Throttle
162,2015,Japan,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W06,Mercedes V6 t h,Pirelli,2,1,
163,2015,Russia,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W06,Mercedes V6 t h,Pirelli,2,1,
164,2015,USA,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W06,Mercedes V6 t h,Pirelli,2,1,
165,2015,Mexico,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W06,Mercedes V6 t h,Pirelli,2,2,
166,2015,Brazil,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W06,Mercedes V6 t h,Pirelli,2,2,
167,2015,Abu Dhabi,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W06,Mercedes V6 t h,Pirelli,2,2,
168,2016,Australia,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W07,Mercedes V6 t h,Pirelli,1,2,
169,2016,Bahrain,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W07,Mercedes V6 t h,Pirelli,1,3,
170,2016,China,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W07,Mercedes V6 t h,Pirelli,22,7,
171,2016,Russia,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W07,Mercedes V6 t h,Pirelli,10,2,
172,2016,Spain,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W07,Mercedes V6 t h,Pirelli,1,ab,Collision
173,2016,Monaco,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W07,Mercedes V6 t h,Pirelli,3,1,
174,2016,Canada,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W07,Mercedes V6 t h,Pirelli,1,1,
175,2016,Europe,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W07,Mercedes V6 t h,Pirelli,10,5,
176,2016,Austria,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W07,Mercedes V6 t h,Pirelli,1,1,
177,2016,Britain,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W07,Mercedes V6 t h,Pirelli,1,1,
178,2016,Hungary,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W07,Mercedes V6 t h,Pirelli,2,1,
179,2016,Germany,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W07,Mercedes V6 t h,Pirelli,2,1,
180,2016,Belgium,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W07,Mercedes V6 t h,Pirelli,21,3,
181,2016,Italy,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W07,Mercedes V6 t h,Pirelli,1,2,
182,2016,Singapore,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W07,Mercedes V6 t h,Pirelli,3,3,
183,2016,Malaysia,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W07,Mercedes V6 t h,Pirelli,1,ab,Engine
184,2016,Japan,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W07,Mercedes V6 t h,Pirelli,2,3,
185,2016,USA,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W07,Mercedes V6 t h,Pirelli,1,1,
186,2016,Mexico,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W07,Mercedes V6 t h,Pirelli,1,1,
187,2016,Brazil,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W07,Mercedes V6 t h,Pirelli,1,1,
188,2016,Abu Dhabi,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W07,Mercedes V6 t h,Pirelli,1,1,
189,2017,Australia,Mercedes AMG Petronas Motorsport,44,Mercedes,F1 W08,Mercedes V6 t h,Pirelli,1,2,
190,2017,China,Mercedes AMG Petronas Motorsport,44,Mercedes,F1 W08,Mercedes V6 t h,Pirelli,1,1,
191,2017,Bahrain,Mercedes AMG Petronas Motorsport,44,Mercedes,F1 W08,Mercedes V6 t h,Pirelli,2,2,
192,2017,Russia,Mercedes AMG Petronas Motorsport,44,Mercedes,F1 W08,Mercedes V6 t h,Pirelli,4,4,
193,2017,Spain,Mercedes AMG Petronas Motorsport,44,Mercedes,F1 W08,Mercedes V6 t h,Pirelli,1,1,
194,2017,Monaco,Mercedes AMG Petronas Motorsport,44,Mercedes,F1 W08,Mercedes V6 t h,Pirelli,13,7,
195,2017,Canada,Mercedes AMG Petronas Motorsport,44,Mercedes,F1 W08,Mercedes V6 t h,Pirelli,1,1,
196,2017,Azerbaijan,Mercedes AMG Petronas Motorsport,44,Mercedes,F1 W08,Mercedes V6 t h,Pirelli,1,5,
197,2017,Austria,Mercedes AMG Petronas Motorsport,44,Mercedes,F1 W08,Mercedes V6 t h,Pirelli,8,4,
198,2017,Britain,Mercedes AMG Petronas Motorsport,44,Mercedes,F1 W08,Mercedes V6 t h,Pirelli,1,1,
199,2017,Hungary,Mercedes AMG Petronas Motorsport,44,Mercedes,F1 W08,Mercedes V6 t h,Pirelli,4,4,
200,2017,Belgium,Mercedes AMG Petronas Motorsport,44,Mercedes,F1 W08,Mercedes V6 t h,Pirelli,1,1,
201,2017,Italy,Mercedes AMG Petronas Motorsport,44,Mercedes,F1 W08,Mercedes V6 t h,Pirelli,1,1,
202,2017,Singapore,Mercedes AMG Petronas Motorsport,44,Mercedes,F1 W08,Mercedes V6 t h,Pirelli,5,1,
203,2017,Malaysia,Mercedes AMG Petronas Motorsport,44,Mercedes,F1 W08,Mercedes V6 t h,Pirelli,1,2,
204,2017,Japan,Mercedes AMG Petronas Motorsport,44,Mercedes,F1 W08,Mercedes V6 t h,Pirelli,1,1,
205,2017,USA,Mercedes AMG Petronas Motorsport,44,Mercedes,F1 W08,Mercedes V6 t h,Pirelli,1,1,
206,2017,Mexico,Mercedes AMG Petronas Motorsport,44,Mercedes,F1 W08,Mercedes V6 t h,Pirelli,3,9,
207,2017,Brazil,Mercedes AMG Petronas Motorsport,44,Mercedes,F1 W08,Mercedes V6 t h,Pirelli,20,4,
208,2017,Abu Dhabi,Mercedes AMG Petronas Motorsport,44,Mercedes,F1 W08,Mercedes V6 t h,Pirelli,2,2,
209,2018,Australia,Mercedes AMG Petronas Motorsport,44,Mercedes,F1 W09,Mercedes V6 t h,Pirelli,1,2,
210,2018,Bahrain,Mercedes AMG Petronas Motorsport,44,Mercedes,F1 W09,Mercedes V6 t h,Pirelli,9,3,
211,2018,China,Mercedes AMG Petronas Motorsport,44,Mercedes,F1 W09,Mercedes V6 t h,Pirelli,4,4,
212,2018,Azerbaijan,Mercedes AMG Petronas Motorsport,44,Mercedes,F1 W09,Mercedes V6 t h,Pirelli,2,1,
213,2018,Spain,Mercedes AMG Petronas Motorsport,44,Mercedes,F1 W09,Mercedes V6 t h,Pirelli,1,1,
214,2018,Monaco,Mercedes AMG Petronas Motorsport,44,Mercedes,F1 W09,Mercedes V6 t h,Pirelli,3,3,
215,2018,Canada,Mercedes AMG Petronas Motorsport,44,Mercedes,F1 W09,Mercedes V6 t h,Pirelli,4,5,
216,2018,France,Mercedes AMG Petronas Motorsport,44,Mercedes,F1 W09,Mercedes V6 t h,Pirelli,1,1,
217,2018,Austria,Mercedes AMG Petronas Motorsport,44,Mercedes,F1 W09,Mercedes V6 t h,Pirelli,2,ab,Fuel pressure
218,2018,Britain,Mercedes AMG Petronas Motorsport,44,Mercedes,F1 W09,Mercedes V6 t h,Pirelli,1,2,
219,2018,Germany,Mercedes AMG Petronas Motorsport,44,Mercedes,F1 W09,Mercedes V6 t h,Pirelli,14,1,
220,2018,Hungary,Mercedes AMG Petronas Motorsport,44,Mercedes,F1 W09,Mercedes V6 t h,Pirelli,1,1,
221,2018,Belgium,Mercedes AMG Petronas Motorsport,44,Mercedes,F1 W09,Mercedes V6 t h,Pirelli,1,2,
222,2018,Italy,Mercedes AMG Petronas Motorsport,44,Mercedes,F1 W09,Mercedes V6 t h,Pirelli,3,1,
223,2018,Singapore,Mercedes AMG Petronas Motorsport,44,Mercedes,F1 W09,Mercedes V6 t h,Pirelli,1,1,
224,2018,Russia,Mercedes AMG Petronas Motorsport,44,Mercedes,F1 W09,Mercedes V6 t h,Pirelli,2,1,
225,2018,Japan,Mercedes AMG Petronas Motorsport,44,Mercedes,F1 W09,Mercedes V6 t h,Pirelli,1,1,
226,2018,USA,Mercedes AMG Petronas Motorsport,44,Mercedes,F1 W09,Mercedes V6 t h,Pirelli,1,3,
227,2018,Mexico,Mercedes AMG Petronas Motorsport,44,Mercedes,F1 W09,Mercedes V6 t h,Pirelli,3,4,
228,2018,Brazil,Mercedes AMG Petronas Motorsport,44,Mercedes,F1 W09,Mercedes V6 t h,Pirelli,1,1,
